Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Svi Mykhailiuk,1997-06-10,0,2020-21,23,TOT,NBA,"SF,SG",66,1324,.411,17.6,.379,.209,.105,.040,.026,.621,.536,.660,.302,.500,.538,.334,.563,.886,.030,14,.223,.414,1,0
Troy Murphy,1980-05-02,0,2009-10,29,IND,NBA,PF,72,2344,.472,15.9,.590,.258,.058,.053,.221,.410,.533,.614,.447,.512,.467,.384,.629,1.000,.047,36,.027,.222,0,0
Andrew Bynum,1987-10-27,0,2010-11,23,LAL,NBA,C,54,1500,.574,3.9,1.000,.496,.446,.058,.000,.000,.574,.746,.418,.292,,,.574,,.199,77,,,0,0
Andrew Bynum,1987-10-27,0,2011-12,24,LAL,NBA,C,60,2112,.558,4.6,.994,.476,.435,.068,.015,.006,.560,.755,.405,.296,.083,.200,.675,1.000,.176,136,.200,.000,0,0
Andrew Bynum,1987-10-27,0,2013-14,26,TOT,NBA,C,26,516,.418,7.1,1.000,.316,.404,.213,.067,.000,.418,.521,.352,.375,.467,,.479,,.058,12,,,0,0
Mike Muscala,1991-07-01,0,2014-15,23,ATL,NBA,PF,40,502,.550,10.1,.854,.364,.139,.126,.225,.146,.574,.673,.429,.632,.471,.409,.730,1.000,.106,13,.409,.444,0,0
Mike Muscala,1991-07-01,0,2015-16,24,ATL,NBA,C,60,565,.500,11.9,.743,.342,.125,.092,.184,.257,.566,.673,.632,.286,.464,.308,.797,1.000,.046,6,.308,.250,1,0
Taj Gibson,1985-06-24,1,2016-17,31,OKC,NBA,PF,5,118,.600,6.4,1.000,.400,.343,.171,.086,.000,.600,.571,.583,.500,1.000,,.714,,.114,4,,,0,0
Taj Gibson,1985-06-24,1,2017-18,32,MIN,NBA,PF,5,123,.636,5.0,1.000,.591,.182,.136,.091,.000,.636,.769,.750,.333,.000,,.643,,.045,1,,,0,0
Jamal Murray,1997-02-23,0,2017-18,20,DEN,NBA,PG,81,2565,.451,15.1,.589,.194,.158,.116,.121,.411,.502,.621,.452,.480,.395,.378,.398,.770,.030,27,.126,.455,5,0
Jamal Murray,1997-02-23,0,2018-19,21,DEN,NBA,PG,75,2447,.437,15.1,.647,.184,.160,.169,.134,.353,.476,.583,.399,.439,.465,.367,.526,.684,.025,25,.089,.568,2,0
Dejounte Murray,1996-09-19,0,2017-18,21,SAS,NBA,PG,81,1743,.443,7.4,.944,.412,.223,.210,.099,.056,.454,.586,.360,.344,.367,.265,.330,1.000,.028,15,.618,.286,0,0
Dejounte Murray,1996-09-19,0,2019-20,23,SAS,NBA,PG,66,1687,.462,11.5,.826,.284,.171,.199,.171,.174,.481,.591,.330,.496,.431,.369,.281,.976,.033,19,.369,.390,0,0
Xavier Munford,1992-06-01,0,2015-16,23,MEM,NBA,SG,14,244,.416,13.5,.701,.156,.273,.130,.143,.299,.426,.500,.429,.300,.455,.391,.304,.778,.013,1,.217,.400,0,0
Tony Wroten,1993-04-13,0,2012-13,19,MEM,NBA,SG,35,272,.384,7.7,.814,.616,.105,.023,.070,.186,.414,.453,.222,.500,.333,.250,.276,.750,.035,3,.125,.500,0,0
Ronald Murray,1979-07-29,0,2009-10,30,CHA,NBA,SG,46,993,.389,14.6,.681,.253,.083,.124,.221,.319,.425,.471,.353,.333,.451,.313,.412,.683,.007,3,.275,.361,3,0
Ronald Murray,1979-07-29,0,2009-10,30,CHI,NBA,SG,29,680,.397,14.7,.669,.268,.059,.110,.232,.331,.440,.589,.375,.300,.349,.311,.500,.857,.011,2,.300,.444,2,0
Will Bynum,1983-01-04,0,2012-13,30,DET,NBA,PG,65,1219,.469,9.9,.859,.389,.189,.074,.207,.141,.494,.600,.402,.325,.438,.316,.188,.750,.006,2,.237,.222,1,0
Will Bynum,1983-01-04,0,2013-14,31,DET,NBA,PG,56,1054,.428,10.6,.856,.337,.230,.060,.226,.144,.446,.614,.313,.308,.371,.323,.146,.500,.000,0,.048,.000,1,0
Svi Mykhailiuk,1997-06-10,0,2020-21,23,DET,NBA,SF,36,634,.377,20.6,.233,.130,.072,.018,.013,.767,.519,.655,.313,.250,.667,.333,.630,.895,.000,0,.152,.308,0,0
Svi Mykhailiuk,1997-06-10,0,2020-21,23,OKC,NBA,SG,30,690,.438,15.3,.495,.272,.131,.057,.035,.505,.543,.662,.297,.563,.500,.336,.539,.875,.053,14,.308,.477,1,0
Troy Murphy,1980-05-02,0,2010-11,30,TOT,NBA,PF,35,466,.368,14.9,.711,.211,.088,.140,.272,.289,.457,.625,.300,.375,.419,.152,.622,.800,.044,5,.182,.000,0,0
Troy Murphy,1980-05-02,0,2010-11,30,NJN,NBA,PF,18,288,.342,16.4,.697,.132,.079,.184,.303,.303,.415,.500,.333,.429,.391,.174,.682,1.000,.013,1,.174,.000,0,0
Andrew Bynum,1987-10-27,0,2013-14,26,CLE,NBA,C,24,480,.419,7.3,1.000,.300,.404,.227,.069,.000,.419,.508,.366,.370,.500,,.482,,.059,11,,,0,0
Andrew Bynum,1987-10-27,0,2013-14,26,IND,NBA,C,2,36,.409,5.0,1.000,.455,.409,.091,.045,.000,.409,.600,.222,.500,.000,,.444,,.045,1,,,0,0
Andrew Bynum,1987-10-27,1,2009-10,22,LAL,NBA,C,23,561,.537,2.6,1.000,.651,.295,.054,.000,.000,.537,.608,.455,.125,,,.675,,.228,33,,,0,0
Mike Muscala,1991-07-01,0,2016-17,25,ATL,NBA,C,70,1237,.504,14.0,.674,.291,.077,.131,.175,.326,.546,.684,.423,.477,.424,.418,.847,1.000,.045,13,.309,.441,1,0
Mike Muscala,1991-07-01,0,2017-18,26,ATL,NBA,C,53,1060,.458,15.8,.465,.231,.096,.103,.038,.535,.559,.694,.367,.438,.500,.371,.654,1.000,.042,10,.329,.491,0,0
Taj Gibson,1985-06-24,1,2020-21,35,NYK,NBA,C,5,138,.600,2.7,1.000,.800,.100,.100,.000,.000,.600,.688,.500,.000,,,.833,,.150,3,,,0,0
Jamal Murray,1997-02-23,0,2019-20,22,DEN,NBA,PG,59,1904,.456,15.5,.638,.188,.135,.139,.176,.362,.519,.667,.430,.468,.471,.346,.470,.670,.037,29,.093,.400,3,0
Jamal Murray,1997-02-23,0,2020-21,23,DEN,NBA,PG,48,1704,.477,16.9,.601,.124,.144,.145,.188,.399,.523,.816,.465,.496,.396,.408,.333,.581,.027,19,.136,.488,1,0
Dejounte Murray,1996-09-19,0,2020-21,24,SAS,NBA,PG,67,2139,.453,12.6,.796,.193,.205,.266,.131,.204,.488,.649,.390,.452,.477,.317,.275,.857,.013,12,.206,.293,0,0
Dejounte Murray,1996-09-19,1,2016-17,20,SAS,NBA,PG,11,168,.377,6.9,.951,.475,.213,.230,.033,.049,.397,.483,.462,.214,.000,.000,.348,,.033,1,.667,.000,0,0
Xavier Munford,1992-06-01,0,2017-18,25,MIL,NBA,SG,6,21,.167,14.8,.667,.167,.167,.167,.167,.333,.250,.000,.000,1.000,.000,.000,1.000,,.000,0,.000,,0,0
Xavier Munford,1992-06-01,1,2015-16,23,MEM,NBA,SG,4,89,.321,14.1,.714,.214,.179,.143,.214,.286,.400,.333,.200,.500,.500,.125,.000,1.000,.000,0,.125,1.000,1,0
Tony Wroten,1993-04-13,0,2013-14,20,PHI,NBA,PG,72,1765,.427,8.6,.767,.561,.183,.014,.010,.233,.492,.565,.284,.455,.250,.213,.380,.650,.038,29,.080,.133,8,2
Tony Wroten,1993-04-13,0,2014-15,21,PHI,NBA,PG,30,895,.403,10.1,.673,.507,.145,.014,.007,.327,.473,.555,.254,.000,.000,.261,.370,.703,.037,14,.063,.222,6,0
Justin Wright-Foreman,1997-10-27,0,2019-20,22,UTA,NBA,PG,4,45,.350,17.2,.500,.100,.200,.150,.050,.500,.500,.500,.500,.333,1.000,.200,.400,.500,.000,0,.100,1.000,0,0
Ronald Murray,1979-07-29,1,2009-10,30,CHI,NBA,SG,5,97,.405,14.6,.676,.297,.054,.027,.297,.324,.440,.636,.000,.000,.364,.333,.273,.500,.054,2,.083,.000,0,0
Will Bynum,1983-01-04,0,2014-15,32,WAS,NBA,SG,7,67,.323,14.8,.710,.161,.161,.097,.290,.290,.455,.400,1.000,.000,.333,.000,.100,,.000,0,.000,,0,0
Will Bynum,1983-01-04,1,2014-15,32,WAS,NBA,SG,3,31,.500,7.4,.857,.571,.143,.071,.071,.143,.500,.625,.500,.000,.000,.500,.167,1.000,.000,0,1.000,.500,0,0
Troy Murphy,1980-05-02,0,2010-11,30,BOS,NBA,PF,17,178,.421,12.1,.737,.368,.105,.053,.211,.263,.536,.714,.250,.000,.500,.100,.533,.000,.105,4,.200,.000,0,0
Troy Murphy,1980-05-02,0,2011-12,31,LAL,NBA,PF,59,956,.450,17.7,.608,.158,.047,.047,.357,.392,.471,.519,.250,.625,.459,.418,.878,1.000,.012,2,.254,.412,0,0
Andrew Bynum,1987-10-27,1,2010-11,23,LAL,NBA,C,10,320,.543,5.1,1.000,.429,.400,.152,.019,.000,.543,.689,.405,.438,1.000,,.579,,.095,10,,,0,0
Andrew Bynum,1987-10-27,1,2011-12,24,LAL,NBA,C,12,451,.477,4.6,1.000,.490,.425,.072,.013,.000,.477,.693,.277,.273,.000,,.589,,.157,21,,,0,0
Mike Muscala,1991-07-01,0,2018-19,27,TOT,NBA,PF,64,1306,.402,20.2,.291,.144,.061,.047,.039,.709,.533,.596,.455,.529,.429,.348,.768,1.000,.017,5,.191,.306,1,0
Mike Muscala,1991-07-01,0,2018-19,27,PHI,NBA,PF,47,1041,.392,20.2,.284,.140,.061,.050,.032,.716,.519,.615,.471,.500,.222,.342,.756,1.000,.022,5,.206,.317,1,0
Jamal Murray,1997-02-23,1,2018-19,21,DEN,NBA,PG,14,508,.425,14.5,.671,.187,.167,.206,.111,.329,.467,.660,.310,.481,.357,.337,.494,.500,.020,4,.120,.400,0,0
Jamal Murray,1997-02-23,1,2019-20,22,DEN,NBA,PG,19,753,.505,16.1,.628,.204,.111,.158,.155,.372,.537,.720,.390,.483,.456,.453,.258,.484,.011,3,.036,.600,4,0
Dejounte Murray,1996-09-19,1,2017-18,21,SAS,NBA,PG,5,96,.452,11.5,.806,.226,.226,.194,.161,.194,.400,.714,.286,.333,.200,.667,.200,1.000,.065,2,.667,.750,0,0
Tony Wroten,1993-04-13,0,2015-16,22,PHI,NBA,PG,8,144,.338,8.4,.738,.569,.123,.031,.015,.262,.396,.486,.000,.000,1.000,.176,.158,1.000,.000,0,.059,.000,0,0
Tony Wroten,1993-04-13,1,2012-13,19,MEM,NBA,SG,6,17,.182,8.1,.818,.364,.364,.091,.000,.182,.222,.250,.250,.000,,.000,.000,,.000,0,.000,,0,0
Troy Murphy,1980-05-02,0,2012-13,32,DAL,NBA,PF,14,256,.361,19.4,.426,.131,.033,.066,.197,.574,.423,.625,.500,.250,.333,.314,.727,1.000,.000,0,.286,.300,0,0
Troy Murphy,1980-05-02,1,2010-11,30,BOS,NBA,PF,1,3,,,,,,,,,,,,,,,,,,0,,,0,0
Mike Muscala,1991-07-01,0,2018-19,27,LAL,NBA,PF,17,265,.434,19.9,.313,.157,.060,.036,.060,.687,.577,.538,.400,.667,.800,.368,.800,1.000,.000,0,.140,.250,0,0
Mike Muscala,1991-07-01,0,2019-20,28,OKC,NBA,C,47,572,.407,20.9,.243,.138,.021,.069,.016,.757,.500,.654,.250,.154,1.000,.378,.783,1.000,.016,3,.168,.375,0,0
Troy Murphy,1980-05-02,1,2011-12,31,LAL,NBA,PF,4,15,1.000,25.7,.000,.000,.000,.000,.000,1.000,,,,,,1.000,,1.000,.000,0,.000,,0,0
Mike Muscala,1991-07-01,0,2020-21,29,OKC,NBA,C,35,645,.446,19.9,.311,.131,.075,.041,.064,.689,.614,.714,.500,.818,.412,.370,.765,.971,.015,4,.255,.426,1,0
Mike Muscala,1991-07-01,1,2013-14,22,ATL,NBA,PF,2,5,.000,17.6,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0
Mike Muscala,1991-07-01,1,2014-15,23,ATL,NBA,PF,10,102,.606,12.5,.758,.364,.091,.030,.273,.242,.720,.917,.667,1.000,.444,.250,.833,1.000,.152,5,.375,.333,0,0
Mike Muscala,1991-07-01,1,2015-16,24,ATL,NBA,C,9,67,.500,10.8,.700,.500,.050,.150,.000,.300,.571,.500,1.000,.667,,.333,.625,1.000,.000,0,.500,.333,0,0
Mike Muscala,1991-07-01,1,2016-17,25,ATL,NBA,C,6,81,.278,10.2,.778,.444,.056,.222,.056,.222,.357,.375,.000,.500,.000,.000,1.000,,.111,2,.500,.000,0,0
Mike Muscala,1991-07-01,1,2019-20,28,OKC,NBA,C,2,20,.500,13.4,.500,.000,.500,.000,.000,.500,.000,,.000,,,1.000,,1.000,.000,0,1.000,1.000,0,0
Deonte Burton,1994-01-31,0,2018-19,25,OKC,NBA,SG,32,240,.402,11.1,.671,.439,.085,.110,.037,.329,.455,.528,.143,.444,.333,.296,.720,1.000,.061,4,.444,.167,0,0
Dwight Buycks,1989-03-06,0,2013-14,24,TOR,NBA,PG,14,146,.313,15.7,.646,.188,.167,.063,.229,.354,.323,.667,.125,.333,.182,.294,.500,1.000,.000,0,.118,.500,0,0
Deonte Burton,1994-01-31,0,2019-20,26,OKC,NBA,SF,39,356,.344,14.6,.576,.352,.136,.024,.064,.424,.458,.614,.235,.000,.250,.189,.727,.900,.040,5,.245,.154,3,0
Deonte Burton,1994-01-31,1,2018-19,25,OKC,NBA,SG,3,4,.200,12.3,.600,.400,.200,.000,.000,.400,.333,.500,.000,,,.000,1.000,,.200,1,.000,,0,0
Dwight Buycks,1989-03-06,0,2014-15,25,LAL,NBA,PG,6,123,.450,13.1,.725,.300,.075,.125,.225,.275,.379,.417,.000,.800,.222,.636,.091,.571,.000,0,.091,1.000,0,0
Dwight Buycks,1989-03-06,0,2017-18,28,DET,NBA,PG,29,427,.414,13.1,.773,.288,.157,.086,.242,.227,.438,.596,.226,.412,.396,.333,.284,.400,.000,0,.044,.500,3,0
Alec Burks,1991-07-20,0,2011-12,20,UTA,NBA,SG,59,939,.429,10.9,.874,.364,.188,.062,.261,.126,.442,.638,.269,.273,.333,.333,.514,.867,.050,17,.267,.333,2,0
Deonte Burton,1994-01-31,1,2019-20,26,OKC,NBA,SF,1,2,,,,,,,,,,,,,,,,,,0,,,0,0
Caron Butler,1980-03-13,0,2009-10,29,TOT,NBA,"SF,SG",74,2783,.428,13.7,.862,.249,.104,.087,.422,.138,.450,.508,.358,.286,.473,.290,.488,.667,.034,32,.290,.286,5,0
Rasual Butler,1979-05-23,0,2009-10,30,LAC,NBA,SF,82,2702,.409,18.5,.503,.129,.036,.114,.225,.497,.482,.670,.484,.384,.423,.336,.673,.903,.036,29,.336,.352,0,0
Jimmy Butler,1989-09-14,0,2011-12,22,CHI,NBA,SG,42,359,.405,10.4,.861,.354,.203,.089,.215,.139,.441,.500,.375,.571,.353,.182,.633,1.000,.063,3,.273,.333,0,0
Pape Sy,1988-04-05,0,2010-11,22,ATL,NBA,SF,3,21,.333,6.7,.833,.333,.500,.000,.000,.167,.400,.500,.333,,,.000,.000,,.000,0,1.000,.000,0,0
Alec Burks,1991-07-20,0,2012-13,21,UTA,NBA,SG,64,1137,.420,13.1,.763,.302,.155,.054,.253,.237,.439,.615,.267,.238,.378,.359,.423,.848,.049,19,.174,.375,0,0
Alec Burks,1991-07-20,0,2013-14,22,UTA,NBA,SG,78,2193,.457,11.5,.828,.342,.197,.060,.229,.172,.480,.644,.354,.420,.358,.350,.327,.820,.037,28,.266,.395,9,0
Caron Butler,1980-03-13,0,2009-10,29,WAS,NBA,SF,47,1853,.422,13.9,.863,.238,.121,.073,.431,.137,.447,.545,.333,.275,.455,.263,.474,.600,.032,21,.253,.375,4,0
Caron Butler,1980-03-13,0,2009-10,29,DAL,NBA,SG,27,930,.440,13.3,.860,.272,.070,.112,.406,.140,.456,.443,.440,.300,.510,.340,.514,.765,.039,11,.360,.167,1,0
Rasual Butler,1979-05-23,0,2010-11,31,TOT,NBA,SG,47,770,.333,19.8,.426,.076,.046,.072,.232,.574,.327,.500,.182,.353,.291,.338,.758,.957,.004,1,.500,.294,0,0
Rasual Butler,1979-05-23,0,2010-11,31,LAC,NBA,SG,41,744,.323,19.7,.429,.080,.049,.071,.230,.571,.320,.500,.182,.313,.288,.326,.742,.952,.004,1,.481,.274,0,0
Jimmy Butler,1989-09-14,0,2012-13,23,CHI,NBA,SF,82,2134,.467,11.7,.795,.391,.096,.078,.230,.205,.489,.680,.224,.275,.347,.381,.638,.975,.092,45,.600,.365,3,0
Jimmy Butler,1989-09-14,0,2013-14,24,CHI,NBA,SG,67,2591,.397,14.6,.654,.300,.071,.085,.198,.346,.457,.596,.204,.407,.358,.283,.594,.985,.043,29,.300,.431,4,0
Pape Sy,1988-04-05,1,2010-11,22,ATL,NBA,SF,4,11,.667,9.2,1.000,.333,.333,.000,.333,.000,.667,1.000,1.000,,.000,,.500,,.333,1,,,0,0
Trey Burke,1992-11-12,0,2013-14,21,UTA,NBA,PG,70,2262,.380,16.8,.625,.146,.124,.095,.261,.375,.410,.511,.342,.318,.419,.330,.270,.847,.001,1,.110,.405,3,0
Edmond Sumner,1995-12-31,0,2017-18,22,IND,NBA,PG,1,2,1.000,0.0,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,.000,,.000,0,,,0,0
Caleb Swanigan,1997-04-18,0,2017-18,20,POR,NBA,PF,27,189,.400,7.5,.867,.500,.233,.033,.100,.133,.442,.533,.357,.500,.167,.125,.696,1.000,.050,2,.125,.000,0,0
Alec Burks,1991-07-20,0,2014-15,23,UTA,NBA,SG,27,899,.403,12.3,.773,.290,.177,.083,.223,.227,.409,.494,.340,.280,.403,.382,.316,.769,.033,9,.250,.471,2,0
Alec Burks,1991-07-20,0,2015-16,24,UTA,NBA,SG,31,797,.410,12.1,.763,.278,.168,.132,.186,.237,.412,.570,.321,.341,.306,.405,.238,.625,.024,8,.354,.429,2,0
DaJuan Summers,1988-01-24,0,2009-10,22,DET,NBA,SF,44,405,.354,14.4,.677,.292,.062,.054,.269,.323,.352,.500,.250,.143,.257,.357,.645,.933,.046,6,.452,.421,0,0
Byron Mullens,1989-02-14,0,2009-10,20,OKC,NBA,PF,13,54,.368,10.0,1.000,.316,.105,.211,.368,.000,.368,.500,.000,.500,.286,,.714,,.105,2,,,0,0
Caron Butler,1980-03-13,0,2010-11,30,DAL,NBA,SF,29,867,.450,15.2,.828,.172,.101,.159,.397,.172,.454,.585,.342,.383,.453,.431,.662,.929,.019,7,.385,.400,3,0
Caron Butler,1980-03-13,0,2011-12,31,LAC,NBA,SF,63,1871,.407,17.2,.635,.146,.081,.092,.316,.365,.435,.563,.316,.492,.390,.358,.667,.946,.028,16,.354,.363,1,0
Rasual Butler,1979-05-23,0,2010-11,31,CHI,NBA,SG,6,26,.545,22.1,.364,.000,.000,.091,.273,.636,.500,,,1.000,.333,.571,1.000,1.000,.000,0,.857,.500,0,0
Rasual Butler,1979-05-23,0,2011-12,32,TOR,NBA,SF,34,453,.308,20.1,.421,.053,.053,.060,.256,.579,.357,.429,.286,.125,.412,.273,.750,.952,.015,2,.519,.275,0,0
Jimmy Butler,1989-09-14,0,2014-15,25,CHI,NBA,SG,65,2513,.462,11.8,.788,.336,.121,.121,.212,.212,.484,.624,.345,.427,.373,.378,.569,.918,.058,49,.244,.447,2,0
Jimmy Butler,1989-09-14,0,2015-16,26,CHI,NBA,SG,67,2474,.454,12.0,.802,.313,.120,.131,.236,.198,.489,.673,.363,.360,.385,.312,.441,.719,.071,69,.176,.361,6,1
Trey Burke,1992-11-12,0,2014-15,22,UTA,NBA,PG,76,2288,.368,16.0,.612,.149,.156,.085,.222,.388,.400,.493,.306,.412,.399,.318,.211,.895,.000,0,.190,.419,6,1
Trey Burke,1992-11-12,0,2015-16,23,UTA,NBA,PG,64,1366,.413,16.2,.596,.159,.117,.118,.202,.404,.460,.525,.392,.480,.438,.344,.144,.909,.000,0,.215,.345,6,0
Edmond Sumner,1995-12-31,0,2018-19,23,IND,NBA,PG,23,210,.344,13.5,.578,.375,.094,.031,.078,.422,.405,.375,.500,.500,.400,.259,.600,.857,.000,0,.296,.375,0,0
Edmond Sumner,1995-12-31,0,2019-20,24,IND,NBA,SG,31,447,.430,12.1,.627,.359,.204,.063,.000,.373,.528,.725,.276,.222,,.264,.574,.929,.049,7,.302,.625,1,0
Caleb Swanigan,1997-04-18,0,2018-19,21,TOT,NBA,PF,21,178,.340,9.0,.868,.358,.302,.113,.094,.132,.370,.579,.313,.167,.000,.143,.471,1.000,.057,3,.571,.250,0,0
Caleb Swanigan,1997-04-18,0,2018-19,21,POR,NBA,PF,18,145,.318,8.1,.886,.409,.295,.091,.091,.114,.333,.556,.154,.250,.000,.200,.462,1.000,.068,3,.600,.333,0,0
Alec Burks,1991-07-20,0,2016-17,25,UTA,NBA,SG,42,653,.399,12.9,.694,.270,.185,.117,.121,.306,.430,.388,.478,.552,.333,.329,.311,.800,.028,4,.368,.393,0,0
Alec Burks,1991-07-20,0,2017-18,26,UTA,NBA,SG,64,1059,.411,13.3,.657,.251,.184,.130,.092,.343,.452,.635,.303,.370,.368,.331,.431,.660,.046,18,.162,.304,1,0
DaJuan Summers,1988-01-24,0,2010-11,23,DET,NBA,SF,22,199,.406,15.2,.696,.174,.130,.101,.290,.304,.396,.583,.111,.714,.300,.429,.789,1.000,.058,2,.571,.500,0,0
DaJuan Summers,1988-01-24,0,2011-12,24,NOH,NBA,SF,15,209,.431,14.7,.754,.262,.046,.077,.369,.246,.469,.471,1.000,.000,.500,.313,.826,.800,.046,2,.625,.400,0,0
Byron Mullens,1989-02-14,0,2010-11,21,OKC,NBA,PF,13,85,.321,8.9,1.000,.393,.214,.071,.321,.000,.321,.455,.167,.500,.222,,.778,,.179,4,,,0,0
Byron Mullens,1989-02-14,0,2011-12,22,CHA,NBA,C,65,1465,.425,12.8,.914,.306,.083,.086,.438,.086,.443,.646,.306,.353,.344,.235,.736,.667,.102,53,.059,.000,1,0
Caron Butler,1980-03-13,0,2012-13,32,LAC,NBA,SF,78,1879,.424,18.3,.542,.118,.072,.099,.253,.458,.454,.588,.404,.451,.407,.388,.718,.977,.029,16,.312,.447,0,0
Caron Butler,1980-03-13,0,2013-14,33,TOT,NBA,SF,56,1419,.394,19.4,.539,.070,.041,.122,.306,.461,.395,.474,.318,.394,.388,.394,.565,.939,.004,2,.305,.395,1,0
Rasual Butler,1979-05-23,0,2013-14,34,IND,NBA,SG,50,378,.464,18.8,.436,.145,.027,.100,.164,.564,.521,.688,.333,.455,.444,.419,.400,.885,.045,5,.548,.324,0,0
Rasual Butler,1979-05-23,0,2014-15,35,WAS,NBA,SF,75,1505,.422,17.3,.545,.141,.066,.104,.234,.455,.450,.671,.412,.315,.388,.387,.685,.934,.043,21,.426,.410,0,0
Rasual Butler,1979-05-23,0,2015-16,36,SAS,NBA,SF,46,432,.471,16.0,.529,.183,.115,.106,.135,.471,.618,.789,.250,.455,.786,.306,.676,1.000,.029,3,.388,.316,0,0
Jimmy Butler,1989-09-14,0,2016-17,27,CHI,NBA,SF,76,2809,.455,12.9,.802,.282,.125,.164,.232,.198,.477,.612,.513,.376,.366,.367,.365,.637,.038,44,.153,.553,3,0
Jimmy Butler,1989-09-14,0,2017-18,28,MIN,NBA,SG,59,2164,.474,12.1,.783,.251,.168,.208,.155,.217,.509,.662,.490,.432,.385,.350,.332,.757,.047,41,.205,.439,2,0
Mychal Mulder,1994-06-12,0,2019-20,25,GSW,NBA,SF,7,204,.388,21.2,.224,.090,.090,.015,.030,.776,.667,.667,.667,.000,1.000,.308,1.000,1.000,.000,0,.269,.571,0,0
Trey Burke,1992-11-12,0,2016-17,24,WAS,NBA,PG,57,703,.455,16.1,.725,.137,.086,.184,.314,.275,.459,.514,.455,.489,.425,.443,.212,.806,.000,0,.171,.667,0,0
Trey Burke,1992-11-12,0,2017-18,25,NYK,NBA,PG,36,785,.503,15.6,.727,.161,.102,.169,.294,.273,.556,.726,.410,.462,.566,.362,.226,.789,.003,1,.133,.429,3,0
Edmond Sumner,1995-12-31,0,2020-21,25,IND,NBA,SG,53,861,.525,10.4,.688,.443,.195,.035,.014,.312,.582,.712,.364,.400,.000,.398,.690,.943,.064,18,.386,.441,1,0
Edmond Sumner,1995-12-31,1,2018-19,23,IND,NBA,PG,1,2,,,,,,,,,,,,,,,,,,0,,,0,0
Edmond Sumner,1995-12-31,1,2019-20,24,IND,NBA,SG,3,41,.286,13.7,.571,.143,.286,.143,.000,.429,.500,1.000,.500,.000,,.000,.500,,.000,0,.667,.000,0,0
Caleb Swanigan,1997-04-18,0,2018-19,21,SAC,NBA,PF,3,33,.444,13.3,.778,.111,.333,.222,.111,.222,.571,1.000,1.000,.000,.000,.000,.500,,.000,0,.500,.000,0,0
Caleb Swanigan,1997-04-18,0,2019-20,22,TOT,NBA,"C,PF",27,288,.596,5.3,.957,.617,.191,.106,.043,.043,.622,.724,.444,.400,.500,.000,.750,,.021,1,.500,.000,0,0
Alec Burks,1991-07-20,0,2018-19,27,TOT,NBA,SG,64,1375,.405,13.6,.646,.287,.173,.089,.097,.354,.428,.596,.317,.238,.304,.363,.420,.770,.025,11,.196,.364,2,0
Alec Burks,1991-07-20,0,2018-19,27,UTA,NBA,SG,17,269,.412,14.0,.623,.289,.158,.088,.088,.377,.437,.727,.167,.100,.300,.372,.548,.688,.018,2,.116,.000,1,0
DaJuan Summers,1988-01-24,0,2012-13,25,LAC,NBA,PF,2,7,.250,16.9,1.000,.000,.250,.000,.750,.000,.250,,.000,,.333,,1.000,,.000,0,,,0,0
Byron Mullens,1989-02-14,0,2012-13,23,CHA,NBA,PF,53,1428,.385,15.9,.631,.181,.107,.146,.197,.369,.425,.618,.400,.354,.315,.317,.623,.955,.057,28,.183,.474,0,0
Byron Mullens,1989-02-14,0,2013-14,24,TOT,NBA,C,45,414,.442,17.3,.461,.212,.079,.073,.097,.539,.526,.714,.231,.500,.375,.371,.600,.970,.085,11,.090,.250,0,0
Caron Butler,1980-03-13,0,2013-14,33,MIL,NBA,SF,34,821,.387,18.8,.585,.096,.045,.119,.325,.415,.406,.471,.313,.405,.400,.361,.548,.943,.006,2,.224,.364,0,0
Caron Butler,1980-03-13,0,2013-14,33,OKC,NBA,SF,22,598,.409,20.4,.452,.022,.032,.129,.269,.548,.369,.500,.333,.375,.360,.441,.613,.933,.000,0,.422,.419,1,0
Rasual Butler,1979-05-23,1,2010-11,31,CHI,NBA,SG,3,7,1.000,25.9,.000,.000,.000,.000,.000,1.000,,,,,,1.000,,1.000,.000,0,.000,,0,0
Rasual Butler,1979-05-23,1,2013-14,34,IND,NBA,SG,11,70,.400,22.6,.200,.067,.000,.000,.133,.800,.333,1.000,,,.000,.417,1.000,1.000,.067,1,.500,.500,0,0
Jimmy Butler,1989-09-14,0,2018-19,29,TOT,NBA,"SF,SG",65,2185,.462,11.7,.787,.315,.167,.156,.148,.213,.494,.716,.311,.404,.321,.347,.481,.672,.079,69,.238,.348,1,0
Jimmy Butler,1989-09-14,0,2018-19,29,MIN,NBA,SG,10,361,.471,12.3,.713,.299,.172,.166,.076,.287,.509,.702,.333,.423,.333,.378,.333,.529,.076,12,.267,.500,1,0
Mychal Mulder,1994-06-12,0,2020-21,26,GSW,NBA,PG,60,766,.449,21.0,.192,.147,.034,.004,.008,.808,.667,.795,.333,.000,.000,.397,.912,1.000,.057,14,.322,.377,0,0
